iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp
ABW,4265650673.00236,39498.5941293797,,
AND,4039842405.48117,49303.6491674336,29.8173002100542,
ARE,552324846834.581,50273.5060469837,3.03252459225118,3.76871736070712
ASM,871000000.0,18017.4589383973,,
ATG,2207622874.07407,23542.4526945578,,
AUS,1757022451652.83,64603.9856308464,26.131348255083,27.5833132925557
AUT,534790720466.822,58268.8787651601,45.0704267484122,46.0304036608475
BEL,671370081636.406,56614.5679499036,37.880538821852,39.7375528029031
BGR,113343355779.985,17596.0173663521,34.4167557205339,35.7558278676639
BHR,47109734308.5106,29653.5682731534,15.4536755504399,26.1085121752585
BHS,15832800000.0,39455.4466548546,19.3844099653883,20.347142731791
BMU,9233600000.0,142855.374713782,,
BRB,7498050000.0,26544.8707282621,,
BRN,15340808592.48,33153.4738913513,,
CAN,2243636826633.76,54340.3477224733,20.1659904190479,19.2603133808938
CHE,936564198048.516,103998.186685604,17.6445914005357,16.7263244208761
CHI,12507320838.3932,74585.5224096294,,
CHL,330267137371.592,16709.8893972307,21.7884463736492,24.579585902841
CRI,95350423176.5962,18587.1532203482,29.3390402864479,28.9089243953107
CUW,3561178196.20713,22832.8953958667,,
CYM,7241244269.45972,99143.5180243123,,
CYP,37634533331.8902,38674.29296875,39.9002949913761,38.4593865037483
CZE,347034062928.479,31823.3078290564,36.5421162532307,34.4426537105922
DEU,4685592577804.69,56103.7323182554,29.3708896111546,31.174891399437
DNK,424524722037.047,71026.4832271897,38.2868050493917,33.3385713177252
ESP,1725671652742.19,35326.7683069278,29.6705826271851,34.0441499010857
EST,43130419829.35,31428.3547816104,38.3078148665079,37.6884300915577
FIN,298696961297.656,53149.7671934051,41.796545189029,44.9319767782795
FRA,3160442622465.08,46103.0840855884,42.1079880169865,47.2580360132692
FRO,4052937169.76536,74119.6607553879,,
GBR,3686033044482.13,53246.3676145108,34.9208011356426,41.2292290721047
GIB,,,,
GRC,256238371778.118,24626.1481858973,44.763796397246,47.3019610078935
GRL,3326543974.39193,58498.9707973609,,
GUM,6910000000.0,41833.1517132825,,
GUY,24662709832.1343,29675.2443873316,,
HKG,406863396487.342,54074.6928519479,,
HRV,92983810328.9088,24050.4397933135,35.0802957460434,38.1251053472541
HUN,222722738925.641,23292.3263882478,37.960763368241,42.4178061387445
IMN,7431257410.92713,88328.548125887,,
IRL,609157459747.205,112894.953240805,25.6760104651326,19.2427274217679
ISL,33255181468.9382,86040.5309851288,31.470973703207,32.0740117330613
ISR,540379921261.681,54176.6844383302,31.5892139645298,37.4364799128984
ITA,2380825077243.59,40385.3413957669,40.1843155229491,47.2805094852674
JPN,4027597523550.58,32487.0778047567,,20.9311943137094
KNA,1122388888.88889,23960.6534357084,28.4590147448871,26.7494626224027
KOR,1875388209406.8,36238.639908315,27.3522982777032,28.3225119832631
KWT,160227273053.334,32717.7186631255,,
LIE,8239379403.22096,206780.590353385,,
LTU,84869215513.3648,29384.0189598663,35.3361527690021,34.1003296593768
LUX,93279851863.4062,137781.681659123,44.5883907548223,42.2321737913696
