iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
USA,United States,HIC,High Income,True,28750956130731.2,25674728990086.7,3200000000.0,4316017524.892382,1116017524.8923817,0.004346754839450452,-32686466038508.56,32688698073558.34,0.7414242369369876,0.7414242369369876,0.975371737906799,52756824640.76882,4316017524.892382,Under-Contributing Donor,0.05917260823973101
FRA,France,HIC,High Income,True,3160442622465.08,3756585907158.45,1345770000.0,1853073174.673462,507303174.6734619,0.013504367721413172,-3592668071079.7593,3593682677429.106,0.7262368364040152,0.7262368364040152,0.8862299642274889,5721027234.680549,1853073174.673462,Under-Contributing Donor,0.21735005660290496
BEL,Belgium,HIC,High Income,True,671370081636.406,751216687125.378,200000000.0,597883874.3566413,397883874.3566413,0.052965260380356066,-762897240422.3593,763693008171.0726,0.3345131196508886,0.3345131196508886,0.9165001654017816,1428040516.3355155,597883874.3566413,Under-Contributing Donor,0.16753187765007652
DEU,Germany,HIC,High Income,True,4685592577804.69,5224343287117.36,1758040000.0,2077624529.7418437,319584529.7418437,0.006117219182933538,-5326831664691.579,5327470833751.063,0.8461779184992806,0.8461779184992806,0.8948727842293178,10552837016.940987,2077624529.7418437,Reliable Donor,0.20337543259278937
SWE,Sweden,HIC,High Income,True,603715224265.798,665669058844.783,774280000.0,1031793247.5873622,257513247.58736217,0.03868487563989476,-686119344688.3379,686634371183.5127,0.7504216584189669,0.7504216584189669,0.8954881601202332,1699159516.3189828,1031793247.5873622,Under-Contributing Donor,0.20237354575882305
SAU,Saudi Arabia,HIC,High Income,True,1239804533333.33,2216602509388.35,700000000.0,883176602.7802905,183176602.78029048,0.0082638453220391,-1409377334446.0332,1409743687651.5938,0.7925934606921876,0.7925934606921876,0.10677728644368895,627792311.958747,883176602.7802905,Under-Contributing Donor,1.7237280630214245
CHE,Switzerland,HIC,High Income,True,936564198048.516,741034943164.658,655740000.0,831261925.7828845,175521925.78288448,0.023686052513704946,-1064624512384.4309,1064975556235.9966,0.788848832914394,0.788848832914394,0.9100494696100404,2375133534.344092,831261925.7828845,Under-Contributing Donor,0.1783686481624605
NLD,Netherlands,HIC,High Income,True,1214927698572.66,1268520612483.41,1013090000.0,1163642777.13376,150552777.13375998,0.011868374518488871,-1381126948348.9377,1381428053903.2053,0.870619420244591,0.870619420244591,0.9241971720306825,3142386724.503416,1163642777.13376,Reliable Donor,0.1544138549256354
CAN,Canada,HIC,High Income,True,2243636826633.76,2341345308573.89,1197600000.0,1314411178.3353117,116811178.33531165,0.004989062395348303,-2550722282347.9897,2550955904704.6606,0.911130413176148,0.911130413176148,0.9084355183391997,5251583208.284155,1314411178.3353117,Reliable Donor,0.18105931261620456
ISR,Israel,HIC,High Income,True,540379921261.681,472176550257.167,0.0,48594934.53875125,48594934.53875125,0.010291687402155917,-614320991153.549,614418181022.6263,0.0,0.0,0.35773664644094694,136331495.48973575,48594934.53875125,Emerging Prospect,1.0435036789613064
AUT,Austria,HIC,High Income,True,534790720466.822,585445837925.664,532730000.0,579105955.8303969,46375955.83039689,0.007921476732111537,-607968727214.2328,608061479125.8937,0.9199180126477942,0.9199180126477942,0.8949563992927698,1258089179.508663,579105955.8303969,Reliable Donor,0.2032393556375806
FIN,Finland,HIC,High Income,True,298696961297.656,315407096563.701,109930000.0,150930501.16079438,41000501.16079438,0.012999232296129945,-339554016370.95,339636017373.27155,0.7283484726714428,0.7283484726714428,0.8881677915549968,709274751.3278266,150930501.16079438,Under-Contributing Donor,0.21423196473493808
HKG,"Hong Kong SAR, China",HIC,High Income,True,406863396487.342,497749120777.738,0.0,37074675.554158986,37074675.554158986,0.007448466306927763,-462534695035.47394,462608844386.5822,0.0,0.0,0.36249362444496236,161528048.07977164,37074675.554158986,Emerging Prospect,1.0345098770100352
SGP,Singapore,HIC,High Income,True,547386645891.847,800303664054.59,55000000.0,85986705.46154061,30986705.46154061,0.0038718684985836775,-622304695718.7328,622366669129.6559,0.6396337632054053,0.6396337632054053,0.3458613412096277,652820651.709721,85986705.46154061,Under-Contributing Donor,1.066268748033391
IND,India,LMC,Lower-Middle Income,True,3909891533858.08,14245349560959.0,0.0,24746800.88952894,24746800.88952894,0.0001737184530546752,-4445215257115.673,4445264750717.452,0.0,0.0,0.07148373564502827,267186512.8104928,24746800.88952894,Low Probability,1.90881804317169
RUS,Russian Federation,HIC,High Income,True,2173835806671.66,6088997179872.49,0.0,18359614.675572377,18359614.675572377,0.0003015211558359901,-2471462449017.354,2471499168246.7056,0.0,0.0,0.09538711414096435,189691966.5159584,18359614.675572377,Low Probability,1.7772354536653474
MEX,Mexico,UMC,Upper-Middle Income,True,1856365616165.94,2884128005836.94,0.0,17944849.84733369,17944849.84733369,0.0006221932525538618,-2110524157767.8728,2110560047467.5676,0.0,0.0,0.1091765078204629,168141891.55261946,17944849.84733369,Low Probability,1.7130399933740632
BRA,Brazil,UMC,Upper-Middle Income,True,2185821648943.86,4166273441898.55,0.0,16948458.182005648,16948458.182005648,0.00040680138781967035,-2485090822734.736,2485124719651.1,0.0,0.0,0.08757262314963332,164392388.53368935,16948458.182005648,Low Probability,1.8169816052678733
TUR,Turkiye,UMC,Upper-Middle Income,True,1359123768774.12,3091883611271.66,0.0,12594499.748038363,12594499.748038363,0.00040734068068165,-1545204528510.0537,1545229717509.5498,0.0,0.0,0.10465857086719821,134053077.31891465,12594499.748038363,Low Probability,1.7333256582839829
GRC,Greece,HIC,High Income,True,256238371778.118,389924903122.161,0.0,10547092.713550419,10547092.713550419,0.002704903592742852,-291312383710.5836,291333477896.01074,0.0,0.0,0.8448474824821197,99277591.99168774,10547092.713550419,High-Potential Prospect,0.2822314285063766
IDN,Indonesia,UMC,Upper-Middle Income,True,1396300098190.97,4102194303076.81,0.0,9822953.72399356,9822953.72399356,0.00023945608126426266,-1587473870699.1497,1587493516606.5974,0.0,0.0,0.07945408216586708,127908496.71710856,9822953.72399356,Low Probability,1.8614294513769263
ARE,United Arab Emirates,HIC,High Income,True,552324846834.581,765771908236.642,0.0,9569543.721318899,9569543.721318899,0.0012496598031853734,-627940460027.4281,627959599114.8707,0.0,0.0,0.1956813950251406,146157930.13556013,9569543.721318899,Low Probability,1.4119576173371164
THA,Thailand,UMC,Upper-Middle Income,True,526517658841.684,1558101282937.74,0.0,5851983.385446018,5851983.385446018,0.0003755842735982046,-598603429011.6974,598615132978.4684,0.0,0.0,0.12552869922440385,68259045.72625217,5851983.385446018,Low Probability,1.6447317784973552
VNM,Viet Nam,LMC,Lower-Middle Income,True,476388230307.175,1455759302312.16,0.0,5427403.38136735,5427403.38136735,0.00037282285421409223,-541610625220.6854,541621480027.4481,0.0,0.0,0.1286719738889197,63816567.847249396,5427403.38136735,Low Probability,1.6324071795689783
MYS,Malaysia,UMC,Upper-Middle Income,True,422227005428.688,1213093813799.27,0.0,5406603.575056533,5406603.575056533,0.0004456871771626363,-480033581437.98596,480044394645.1361,0.0,0.0,0.14462101517346837,60699593.7204377,5406603.575056533,Low Probability,1.573224094772712
ARG,Argentina,UMC,Upper-Middle Income,True,638365455340.04,1223376004342.6,0.0,5292868.158158082,5292868.158158082,0.00043264443142337797,-725766160028.3557,725776745764.6721,0.0,0.0,0.09364284168122589,64615020.30132896,5292868.158158082,Low Probability,1.7858741351667347
ISL,Iceland,HIC,High Income,True,33255181468.9382,26015741028.9644,0.0,4589485.492993758,4589485.492993758,0.01764118687945154,-37803943493.7737,37813122464.75969,0.0,0.0,0.8785521946784123,28405743.465616528,4589485.492993758,High-Potential Prospect,0.2296237066143579
CHL,Chile,HIC,High Income,True,330267137371.592,596555875617.396,0.0,3470161.5365242376,3470161.5365242376,0.0005816993308351626,-375484360718.1466,375491301041.2196,0.0,0.0,0.11866898156506256,58572409.917930864,3470161.5365242376,Low Probability,1.6724851967264183
PHL,Philippines,LMC,Lower-Middle Income,True,461617509782.355,1201987017721.73,0.0,3404913.697786493,3404913.697786493,0.0002832737498480004,-524819497006.56616,524826306833.9618,0.0,0.0,0.08330608409163281,52681667.10718435,3404913.697786493,Low Probability,1.8399031400893187
IRN,"Iran, Islamic Rep.",UMC,Upper-Middle Income,True,475252089215.416,1600982419419.64,0.0,3263259.755424967,3263259.755424967,0.00020382858149110136,-540321086055.5505,540327612575.06134,0.0,0.0,0.07754976675300676,52473560.24252939,3263259.755424967,Low Probability,1.8723863325388221
COL,Colombia,UMC,Upper-Middle Income,True,418818154879.271,977192682078.988,0.0,3115653.601105465,3115653.601105465,0.000318837181064115,-476160276684.49316,476166507991.69543,0.0,0.0,0.08401881524329735,40343676.75321693,3115653.601105465,Low Probability,1.8360090104451934
