iso3,country_name,income_group,is_current_donor,gdp_usd,gdp_per_capita_usd,fiscal_balance_pct_gdp,govt_debt_pct_gdp,ida20_contribution_usd,ida21_contribution_usd
ABW,Aruba,HIC,0,4265650673.00236,39498.5941293797,,,,
AND,Andorra,HIC,0,4039842405.48117,49303.6491674336,,,,
ARE,United Arab Emirates,HIC,0,552324846834.581,50273.5060469837,-0.7361927684559397,29.1,,
ASM,American Samoa,HIC,0,871000000.0,18017.4589383973,,,,
ATG,Antigua and Barbuda,HIC,0,2207622874.07407,23542.4526945578,,,,
AUS,Australia,HIC,1,1757022451652.83,64603.9856308464,-1.4519650374727,53.7,259500000.0,285000000.0
AUT,Austria,HIC,1,534790720466.822,58268.8787651601,-0.9599769124352946,74.5,121000000.0,130000000.0
BEL,Belgium,HIC,1,671370081636.406,56614.5679499036,-1.8570139810511037,105.2,185000000.0,200000000.0
BGR,Bulgaria,HIC,0,113343355779.985,17596.0173663521,-1.339072147130004,23.1,,
BHR,Bahrain,HIC,0,47109734308.5106,29653.5682731534,-10.6548366248186,119.2,,
BHS,"Bahamas, The",HIC,0,15832800000.0,39455.4466548546,-0.9627327664026986,,,
BMU,Bermuda,HIC,0,9233600000.0,142855.374713782,,,,
BRB,Barbados,HIC,0,7498050000.0,26544.8707282621,,,,
BRN,Brunei Darussalam,HIC,0,15340808592.48,33153.4738913513,,,,
CAN,Canada,HIC,1,2243636826633.76,54340.3477224733,0.9056770381541028,106.4,495000000.0,560000000.0
CHE,Switzerland,HIC,1,936564198048.516,103998.186685604,0.9182669796595988,39.0,375000000.0,410000000.0
CHI,Channel Islands,HIC,0,12507320838.3932,74585.5224096294,,,,
CHL,Chile,HIC,0,330267137371.592,16709.8893972307,-2.791139529191799,39.8,,
CRI,Costa Rica,HIC,0,95350423176.5962,18587.1532203482,0.43011589113720206,64.5,,
CUW,Curacao,HIC,0,3561178196.20713,22832.8953958667,,,,
CYM,Cayman Islands,HIC,0,7241244269.45972,99143.5180243123,,,,
CYP,Cyprus,HIC,0,37634533331.8902,38674.29296875,1.4409084876278015,77.3,,
CZE,Czechia,HIC,0,347034062928.479,31823.3078290564,2.0994625426385056,44.0,,
DEU,Germany,HIC,1,4685592577804.69,56103.7323182554,-1.8040017882824024,63.6,1520000000.0,1650000000.0
DNK,Denmark,HIC,1,424524722037.047,71026.4832271897,4.948233731666505,30.1,285000000.0,310000000.0
ESP,Spain,HIC,1,1725671652742.19,35326.7683069278,-4.373567273900601,107.7,170000000.0,185000000.0
EST,Estonia,HIC,0,43130419829.35,31428.3547816104,0.6193847749501984,20.1,,
FIN,Finland,HIC,1,298696961297.656,53149.7671934051,-3.1354315892505014,74.5,120000000.0,130000000.0
FRA,France,HIC,1,3160442622465.08,46103.0840855884,-5.150047996282694,111.9,895000000.0,980000000.0
FRO,Faroe Islands,HIC,0,4052937169.76536,74119.6607553879,,,,
GBR,United Kingdom,HIC,1,3686033044482.13,53246.3676145108,-6.3084279364621025,104.1,1890000000.0,1850000000.0
GRC,Greece,HIC,0,256238371778.118,24626.1481858973,-2.538164610647506,161.9,,
GRL,Greenland,HIC,0,3326543974.39193,58498.9707973609,,,,
GUM,Guam,HIC,0,6910000000.0,41833.1517132825,,,,
GUY,Guyana,HIC,0,24662709832.1343,29675.2443873316,,,,
HKG,"Hong Kong SAR, China",HIC,0,406863396487.342,54074.6928519479,,,,
HRV,Croatia,HIC,0,92983810328.9088,24050.4397933135,-3.0448096012107015,63.7,,
HUN,Hungary,HIC,0,222722738925.641,23292.3263882478,-4.457042770503506,73.6,,
IMN,Isle of Man,HIC,0,7431257410.92713,88328.548125887,,,,
IRL,Ireland,HIC,1,609157459747.205,112894.953240805,6.4332830433647,43.7,67000000.0,75000000.0
ISL,Iceland,HIC,0,33255181468.9382,86040.5309851288,-0.6030380298542966,68.1,,
ISR,Israel,HIC,0,540379921261.681,54176.6844383302,-5.847265948368598,61.5,,
ITA,Italy,HIC,1,2380825077243.59,40385.3413957669,-7.096193962318303,137.3,385000000.0,420000000.0
JPN,Japan,HIC,1,4027597523550.58,32487.0778047567,,261.3,2050000000.0,2100000000.0
KNA,St. Kitts and Nevis,HIC,0,1122388888.88889,23960.6534357084,1.7095521224844,,,
KOR,"Korea, Rep.",HIC,1,1875388209406.8,36238.639908315,-0.9702137055599032,54.3,260000000.0,290000000.0
KWT,Kuwait,HIC,1,160227273053.334,32717.7186631255,,3.4,85000000.0,95000000.0
LIE,Liechtenstein,HIC,0,8239379403.22096,206780.590353385,,,,
LTU,Lithuania,HIC,0,84869215513.3648,29384.0189598663,1.2358231096253007,38.4,,
LUX,Luxembourg,HIC,1,93279851863.4062,137781.681659123,2.3562169634527024,27.4,73000000.0,80000000.0
LVA,Latvia,HIC,0,43684254432.3609,23409.0845154775,-0.09397034022359918,43.1,,
MAC,"Macao SAR, China",HIC,0,49467258923.3244,72004.7437020733,7.837641165681898,,,
MAF,St. Martin (French part),HIC,0,649206262.847519,21668.3776525323,,,,
MCO,Monaco,HIC,0,11125783372.4794,288001.433369041,,,,
MLT,Malta,HIC,0,24971574502.4475,43898.5781808597,-0.3811043483175993,50.0,,
MNP,Northern Mariana Islands,HIC,0,1096000000.0,23785.754590043,,,,
NCL,New Caledonia,HIC,0,8548919387.12607,29213.1923192946,,,,
NLD,Netherlands,HIC,1,1214927698572.66,67520.4218956281,-0.5773471061181041,48.2,510000000.0,550000000.0
NOR,Norway,HIC,1,483592648313.301,86785.4334489176,17.396025341499104,39.5,390000000.0,420000000.0
NRU,Nauru,HIC,0,162588620.632234,13609.158837552,15.679081016129004,,,
NZL,New Zealand,HIC,1,260172385097.616,49205.1792146792,-1.1063359056643023,49.9,58000000.0,65000000.0
OMN,Oman,HIC,0,107137198769.386,20285.2272897377,,36.9,,
PAN,Panama,HIC,0,86523959131.7472,19161.2188501596,-5.985853428478999,59.0,,
PLW,Palau,HIC,0,276733062.744141,15610.8231931032,-34.3795811493049,,,
POL,Poland,HIC,0,917767106146.761,25103.565661423,-3.2036082610062024,49.6,,
PRI,Puerto Rico (US),HIC,0,126029527033.705,39343.7154660139,,,,
PRT,Portugal,HIC,1,313271185085.102,29292.242104753,0.2702195377611005,99.1,55000000.0,60000000.0
PYF,French Polynesia,HIC,0,6323716355.05009,22439.8838746025,,,,
QAT,Qatar,HIC,0,219162637362.637,76688.6941743178,,41.5,,
