iso3,country_name,income_group,gdp_usd,actual_contribution_usd,adjusted_target_usd,gap_usd,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
USA,United States,HIC,28750956130731.2,3200000000.0,4316017524.892382,1116017524.8923817,0.7414242369369876,0.975371737906799,46718908519.90656,4316017524.892382,Under-Contributing Donor,0.05917260823973101,,0.0,0,0.0,unga_alignment_score
FRA,France,HIC,3160442622465.08,1345770000.0,1853073174.673462,507303174.6734619,0.7262368364040152,0.8862299642274889,3947000434.6872654,1853073174.673462,Under-Contributing Donor,0.21735005660290496,,0.0,0,0.0,unga_alignment_score
BEL,Belgium,HIC,671370081636.406,200000000.0,597883874.3566413,397883874.3566413,0.3345131196508886,0.9165001654017816,1044146196.5212135,597883874.3566413,Under-Contributing Donor,0.16753187765007652,,0.0,0,0.0,unga_alignment_score
DEU,Germany,HIC,4685592577804.69,1758040000.0,2077624529.7418437,319584529.7418437,0.8461779184992806,0.8948727842293178,7998944377.631815,2077624529.7418437,Reliable Donor,0.20337543259278937,,0.0,0,0.0,unga_alignment_score
SWE,Sweden,HIC,603715224265.798,774280000.0,1031793247.5873622,257513247.58736217,0.7504216584189669,0.8954881601202332,1375937815.3162363,1031793247.5873622,Under-Contributing Donor,0.20237354575882305,,0.0,0,0.0,unga_alignment_score
SAU,Saudi Arabia,HIC,1239804533333.33,700000000.0,883176602.7802905,183176602.78029048,0.7925934606921876,0.10677728644368895,1324949598.6548486,883176602.7802905,Under-Contributing Donor,1.7237280630214245,,0.0,0,0.0,unga_alignment_score
CHE,Switzerland,HIC,936564198048.516,655740000.0,831261925.7828845,175521925.78288448,0.788848832914394,0.9100494696100404,1952499757.9120777,831261925.7828845,Under-Contributing Donor,0.1783686481624605,,0.0,0,0.0,unga_alignment_score
NLD,Netherlands,HIC,1214927698572.66,1013090000.0,1163642777.13376,150552777.13375998,0.870619420244591,0.9241971720306825,2242107238.942995,1163642777.13376,Reliable Donor,0.1544138549256354,,0.0,0,0.0,unga_alignment_score
CAN,Canada,HIC,2243636826633.76,1197600000.0,1314411178.3353117,116811178.33531165,0.911130413176148,0.9084355183391997,4185668341.335089,1314411178.3353117,Reliable Donor,0.18105931261620456,,0.0,0,0.0,unga_alignment_score
ISR,Israel,HIC,540379921261.681,0.0,48594934.53875125,48594934.53875125,0.0,0.35773664644094694,112760639.06092408,48594934.53875125,Emerging Prospect,1.0435036789613064,,0.0,0,0.0,unga_alignment_score
AUT,Austria,HIC,534790720466.822,532730000.0,579105955.8303969,46375955.83039689,0.9199180126477942,0.8949563992927698,1051089592.35219,579105955.8303969,Reliable Donor,0.2032393556375806,,0.0,0,0.0,unga_alignment_score
FIN,Finland,HIC,298696961297.656,109930000.0,150930501.16079438,41000501.16079438,0.7283484726714428,0.8881677915549968,584615767.3199843,150930501.16079438,Under-Contributing Donor,0.21423196473493808,,0.0,0,0.0,unga_alignment_score
HKG,"Hong Kong SAR, China",HIC,406863396487.342,0.0,37074675.554158986,37074675.554158986,0.0,0.36249362444496236,689419134.1291208,37074675.554158986,Emerging Prospect,1.0345098770100352,,0.0,0,0.0,unga_alignment_score
SGP,Singapore,HIC,547386645891.847,55000000.0,85986705.46154061,30986705.46154061,0.6396337632054053,0.3458613412096277,1183544277.6434789,85986705.46154061,Under-Contributing Donor,1.066268748033391,,0.0,0,0.0,unga_alignment_score
IND,India,LMC,3909891533858.08,0.0,24746800.88952894,24746800.88952894,0.0,0.07148373564502827,626020166.685308,24746800.88952894,Low Probability,1.90881804317169,,0.0,100,50.0,unga_alignment_score
RUS,Russian Federation,HIC,2173835806671.66,0.0,18359614.675572377,18359614.675572377,0.0,0.09538711414096435,742985157.7184317,18359614.675572377,Low Probability,1.7772354536653474,,0.0,0,0.0,unga_alignment_score
MEX,Mexico,UMC,1856365616165.94,0.0,17944849.84733369,17944849.84733369,0.0,0.1091765078204629,678248803.9924501,17944849.84733369,Low Probability,1.7130399933740632,,0.0,100,50.0,unga_alignment_score
BRA,Brazil,UMC,2185821648943.86,0.0,16948458.182005648,16948458.182005648,0.0,0.08757262314963332,660920178.718201,16948458.182005648,Low Probability,1.8169816052678733,,0.0,100,50.0,unga_alignment_score
TUR,Turkiye,UMC,1359123768774.12,0.0,12594499.748038363,12594499.748038363,0.0,0.10465857086719821,96267623.12198868,12594499.748038363,Low Probability,1.7333256582839829,,0.0,100,50.0,unga_alignment_score
GRC,Greece,HIC,256238371778.118,0.0,10547092.713550419,10547092.713550419,0.0,0.8448474824821197,101508842.59764382,10547092.713550419,High-Potential Prospect,0.2822314285063766,,0.0,0,0.0,unga_alignment_score
IDN,Indonesia,UMC,1396300098190.97,0.0,9822953.72399356,9822953.72399356,0.0,0.07945408216586708,492521063.19851923,9822953.72399356,Low Probability,1.8614294513769263,,0.0,100,50.0,unga_alignment_score
ARE,United Arab Emirates,HIC,552324846834.581,0.0,9569543.721318899,9569543.721318899,0.0,0.1956813950251406,302296481.93913573,9569543.721318899,Low Probability,1.4119576173371164,,0.0,0,0.0,unga_alignment_score
THA,Thailand,UMC,526517658841.684,0.0,5851983.385446018,5851983.385446018,0.0,0.12552869922440385,281362724.27990663,5851983.385446018,Low Probability,1.6447317784973552,,0.0,100,50.0,unga_alignment_score
VNM,Viet Nam,LMC,476388230307.175,0.0,5427403.38136735,5427403.38136735,0.0,0.1286719738889197,263968787.44119787,5427403.38136735,Low Probability,1.6324071795689783,,0.0,100,50.0,unga_alignment_score
